% {"flow_id": 6969, "openml_server": "https://www.openml.org/api/v1/xml", "col_parameters": ["randomforestclassifier__bootstrap", "randomforestclassifier__criterion", "randomforestclassifier__max_depth", "randomforestclassifier__max_features", "randomforestclassifier__max_leaf_nodes", "randomforestclassifier__min_samples_leaf", "randomforestclassifier__min_samples_split", "randomforestclassifier__min_weight_fraction_leaf", "randomforestclassifier__n_estimators", "columntransformer__numeric__imputer__strategy"], "col_measures": ["predictive_accuracy"], "normalized_y": false, "study_id": "OpenML100", "num_runs": 500}
@RELATION openml-meta-flow-6969

@ATTRIBUTE classifier__bootstrap {True, False}
@ATTRIBUTE classifier__criterion {entropy, gini}
@ATTRIBUTE classifier__max_depth {None}
@ATTRIBUTE classifier__max_features NUMERIC
@ATTRIBUTE classifier__max_leaf_nodes {None}
@ATTRIBUTE classifier__min_samples_leaf {18, 20, 2, 7, 3, 6, 16, 14, 9, 15, 4, 8, 17, 12, 10, 13, 5, 11, 19, 1}
@ATTRIBUTE classifier__min_samples_split {9, 19, 15, 2, 4, 10, 18, 20, 5, 8, 3, 17, 7, 14, 6, 12, 16, 11, 13}
@ATTRIBUTE classifier__min_weight_fraction_leaf NUMERIC
@ATTRIBUTE classifier__n_estimators {100}
@ATTRIBUTE imputation__strategy {median, most_frequent, mean}
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE task_id NUMERIC

@DATA
True,gini,None,0.7901810756482917,None,11,3,0.0,100,most_frequent,0.980914,3
True,entropy,None,0.7979566195024893,None,17,10,0.0,100,median,0.972466,3
False,gini,None,0.7207082060996092,None,16,17,0.0,100,most_frequent,0.977159,3
False,gini,None,0.84399731431552,None,12,10,0.0,100,median,0.975594,3
True,gini,None,0.32845133996602016,None,7,2,0.0,100,median,0.984668,3
False,gini,None,0.20399629874060832,None,14,19,0.0,100,most_frequent,0.976846,3
False,entropy,None,0.10470101963080919,None,3,6,0.0,100,mean,0.988736,3
False,entropy,None,0.3037637333775125,None,17,10,0.0,100,median,0.978098,3
False,gini,None,0.6717273727491058,None,14,3,0.0,100,median,0.978411,3
False,entropy,None,0.42041233836311676,None,7,3,0.0,100,mean,0.988736,3
True,entropy,None,0.6270579885424055,None,2,8,0.0,100,most_frequent,0.993116,3
False,gini,None,0.7194345269166158,None,7,15,0.0,100,median,0.985294,3
False,entropy,None,0.4941959370052337,None,9,19,0.0,100,most_frequent,0.984043,3
False,gini,None,0.47312878189507157,None,5,5,0.0,100,mean,0.992804,3
True,entropy,None,0.5390217113986663,None,12,8,0.0,100,mean,0.978723,3
False,gini,None,0.643241209630445,None,6,11,0.0,100,mean,0.988736,3
False,gini,None,0.11761527872770623,None,2,11,0.0,100,most_frequent,0.991552,3
True,entropy,None,0.2875497510474081,None,9,11,0.0,100,mean,0.982478,3
True,entropy,None,0.5238473161776707,None,6,9,0.0,100,most_frequent,0.985607,3
False,entropy,None,0.2850984359354529,None,19,6,0.0,100,mean,0.976846,3
True,entropy,None,0.5567880117079941,None,8,13,0.0,100,mean,0.984043,3
False,entropy,None,0.5832996099372922,None,3,3,0.0,100,mean,0.992491,3
False,entropy,None,0.6138236084350046,None,1,15,0.0,100,mean,0.994994,3
False,gini,None,0.4298495090978808,None,18,12,0.0,100,most_frequent,0.977785,3
False,gini,None,0.7842112756378135,None,20,17,0.0,100,mean,0.974969,3
False,entropy,None,0.663714777956336,None,19,13,0.0,100,mean,0.976533,3
False,gini,None,0.6041753368950828,None,6,4,0.0,100,mean,0.989362,3
False,entropy,None,0.5512557377398152,None,7,2,0.0,100,most_frequent,0.988423,3
False,entropy,None,0.7751528030456319,None,9,6,0.0,100,mean,0.981852,3
True,gini,None,0.3326412554326603,None,8,6,0.0,100,median,0.983417,3
True,gini,None,0.877352329853019,None,13,4,0.0,100,mean,0.976533,3
True,gini,None,0.46082930558234925,None,17,12,0.0,100,mean,0.969024,3
False,gini,None,0.19630448730203132,None,2,5,0.0,100,median,0.994368,3
True,gini,None,0.389920158030716,None,18,2,0.0,100,median,0.968085,3
True,entropy,None,0.42997500959777335,None,1,18,0.0,100,most_frequent,0.993429,3
True,entropy,None,0.7479411485075577,None,13,12,0.0,100,mean,0.977785,3
False,entropy,None,0.11773265413483297,None,15,14,0.0,100,mean,0.97184,3
True,entropy,None,0.4513375011358618,None,14,15,0.0,100,median,0.974656,3
False,gini,None,0.7701584235833121,None,8,9,0.0,100,most_frequent,0.979349,3
False,entropy,None,0.30478313702790527,None,20,11,0.0,100,most_frequent,0.973091,3
False,entropy,None,0.8750330334618109,None,15,15,0.0,100,median,0.977785,3
True,entropy,None,0.45797561679820287,None,14,4,0.0,100,median,0.974343,3
False,entropy,None,0.4794638197586095,None,3,7,0.0,100,most_frequent,0.993116,3
False,gini,None,0.5409143756550436,None,5,12,0.0,100,mean,0.992491,3
True,entropy,None,0.4272898801215419,None,5,14,0.0,100,median,0.989049,3
True,gini,None,0.34731826516563735,None,20,18,0.0,100,most_frequent,0.967459,3
False,gini,None,0.8862297924695755,None,4,3,0.0,100,mean,0.991552,3
True,entropy,None,0.2090523694307609,None,11,15,0.0,100,median,0.973404,3
True,entropy,None,0.2059854975122778,None,10,2,0.0,100,most_frequent,0.97622,3
True,entropy,None,0.26373160274398033,None,19,19,0.0,100,mean,0.967146,3
False,gini,None,0.8830084452016344,None,1,11,0.0,100,mean,0.994994,3
True,entropy,None,0.5408695601142289,None,18,3,0.0,100,mean,0.969024,3
False,gini,None,0.8947190105632105,None,19,20,0.0,100,median,0.975907,3
True,gini,None,0.1112099075045049,None,9,9,0.0,100,mean,0.972153,3
False,gini,None,0.6770109189616338,None,16,2,0.0,100,median,0.977159,3
False,gini,None,0.8165279043590578,None,13,2,0.0,100,most_frequent,0.975907,3
True,entropy,None,0.5334513505024037,None,16,10,0.0,100,mean,0.972466,3
True,entropy,None,0.5555679528686323,None,17,18,0.0,100,median,0.971214,3
True,entropy,None,0.7594833355005932,None,2,7,0.0,100,mean,0.993429,3
True,entropy,None,0.5790888787448378,None,16,14,0.0,100,most_frequent,0.970275,3
True,gini,None,0.5259476165950979,None,13,6,0.0,100,most_frequent,0.974969,3
True,entropy,None,0.462314344348172,None,6,7,0.0,100,mean,0.986546,3
False,entropy,None,0.6837756802365643,None,8,8,0.0,100,mean,0.98373,3
True,entropy,None,0.3940269985159105,None,1,12,0.0,100,most_frequent,0.994681,3
False,gini,None,0.7823268405598627,None,15,10,0.0,100,median,0.977472,3
False,gini,None,0.1069966008004756,None,12,6,0.0,100,most_frequent,0.972153,3
True,gini,None,0.7796961794936313,None,8,11,0.0,100,mean,0.981227,3
True,gini,None,0.5435577435248204,None,9,20,0.0,100,mean,0.982478,3
False,gini,None,0.4476460446584811,None,8,13,0.0,100,most_frequent,0.984981,3
True,gini,None,0.7958092536843104,None,5,8,0.0,100,median,0.988736,3
False,gini,None,0.5493445015573155,None,15,13,0.0,100,most_frequent,0.982165,3
True,gini,None,0.14622527675975167,None,1,15,0.0,100,most_frequent,0.986546,3
True,gini,None,0.8406217988568417,None,5,15,0.0,100,most_frequent,0.986546,3
True,gini,None,0.8983758939080089,None,11,10,0.0,100,most_frequent,0.982165,3
True,entropy,None,0.4788604019129866,None,3,15,0.0,100,most_frequent,0.992178,3
False,entropy,None,0.3786625456942361,None,10,9,0.0,100,mean,0.984043,3
False,gini,None,0.766535370709721,None,9,3,0.0,100,most_frequent,0.977159,3
False,gini,None,0.2519096922104662,None,2,18,0.0,100,median,0.993429,3
False,gini,None,0.8833459858881608,None,10,7,0.0,100,most_frequent,0.976846,3
True,gini,None,0.7841046387847832,None,19,19,0.0,100,median,0.968711,3
True,entropy,None,0.1552814998025167,None,4,2,0.0,100,most_frequent,0.986859,3
False,gini,None,0.6719902129169769,None,11,19,0.0,100,mean,0.978723,3
True,entropy,None,0.36044412624180655,None,1,5,0.0,100,median,0.995307,3
False,gini,None,0.6671724893795142,None,11,5,0.0,100,most_frequent,0.978723,3
False,entropy,None,0.8180309642858582,None,6,3,0.0,100,most_frequent,0.989675,3
False,entropy,None,0.4566139374595988,None,8,3,0.0,100,mean,0.985294,3
False,gini,None,0.5894398864266467,None,19,11,0.0,100,mean,0.976846,3
True,gini,None,0.6940973190738424,None,14,11,0.0,100,median,0.973717,3
True,gini,None,0.3626444348337291,None,14,17,0.0,100,most_frequent,0.971527,3
True,gini,None,0.4273184543879005,None,20,17,0.0,100,most_frequent,0.967459,3
False,gini,None,0.344867622522969,None,4,20,0.0,100,most_frequent,0.993116,3
False,gini,None,0.2656512487494365,None,14,12,0.0,100,mean,0.980914,3
False,gini,None,0.8524787787272164,None,11,14,0.0,100,most_frequent,0.975282,3
True,gini,None,0.29086308990347504,None,3,14,0.0,100,median,0.990926,3
False,entropy,None,0.8714273873202063,None,3,11,0.0,100,most_frequent,0.991865,3
False,gini,None,0.6838185270335033,None,6,5,0.0,100,median,0.988736,3
True,gini,None,0.6197559323119478,None,2,18,0.0,100,most_frequent,0.9903,3
False,entropy,None,0.27912475719818597,None,13,15,0.0,100,most_frequent,0.981539,3
False,entropy,None,0.8172214929120654,None,11,12,0.0,100,median,0.979349,3
False,gini,None,0.6482096487136635,None,9,18,0.0,100,median,0.980288,3
False,gini,None,0.21997810458402453,None,7,6,0.0,100,mean,0.987797,3
False,entropy,None,0.36247724906107315,None,14,12,0.0,100,mean,0.980288,3
True,gini,None,0.7170174313253691,None,5,17,0.0,100,median,0.986546,3
False,entropy,None,0.1874371969286279,None,11,10,0.0,100,median,0.983417,3
False,gini,None,0.4315891566075931,None,11,16,0.0,100,median,0.98373,3
True,entropy,None,0.3831305730279302,None,12,11,0.0,100,most_frequent,0.975907,3
False,entropy,None,0.11902982316354792,None,3,11,0.0,100,most_frequent,0.989049,3
False,entropy,None,0.15529965638706217,None,17,2,0.0,100,median,0.970901,3
True,gini,None,0.25923277415103363,None,13,17,0.0,100,mean,0.970901,3
False,entropy,None,0.529537157758848,None,5,12,0.0,100,mean,0.991865,3
False,entropy,None,0.8063691481731804,None,5,3,0.0,100,median,0.990613,3
True,entropy,None,0.6451031923278415,None,15,4,0.0,100,median,0.973404,3
False,gini,None,0.5538704132076903,None,9,8,0.0,100,mean,0.98373,3
True,gini,None,0.7719948785072792,None,17,20,0.0,100,median,0.969337,3
True,entropy,None,0.16116627156156707,None,14,12,0.0,100,most_frequent,0.968711,3
True,entropy,None,0.5169695600588308,None,17,14,0.0,100,most_frequent,0.969962,3
False,entropy,None,0.7787432665032222,None,5,16,0.0,100,most_frequent,0.990926,3
True,gini,None,0.7892529962391802,None,4,5,0.0,100,median,0.991865,3
False,gini,None,0.6164858920188124,None,6,5,0.0,100,mean,0.989049,3
False,entropy,None,0.40401368216188793,None,12,10,0.0,100,most_frequent,0.982478,3
False,entropy,None,0.21116164724714725,None,11,6,0.0,100,mean,0.983417,3
False,gini,None,0.7374372548956427,None,20,18,0.0,100,median,0.975282,3
False,entropy,None,0.5791360094168126,None,1,16,0.0,100,median,0.995307,3
True,entropy,None,0.816405478249542,None,1,9,0.0,100,median,0.994994,3
False,gini,None,0.20598502005813898,None,3,3,0.0,100,most_frequent,0.993429,3
True,entropy,None,0.5995597469709945,None,4,14,0.0,100,mean,0.992178,3
False,gini,None,0.4361210103729496,None,10,13,0.0,100,median,0.981852,3
False,entropy,None,0.8855971207745545,None,3,10,0.0,100,mean,0.991865,3
True,gini,None,0.12561975139251508,None,8,3,0.0,100,mean,0.973404,3
True,gini,None,0.32139239921650936,None,11,3,0.0,100,mean,0.977472,3
False,gini,None,0.44445744720044,None,3,7,0.0,100,most_frequent,0.993116,3
True,gini,None,0.5691673416369829,None,18,6,0.0,100,median,0.968711,3
True,gini,None,0.8733768986855782,None,6,10,0.0,100,most_frequent,0.984355,3
False,gini,None,0.13634696624869438,None,6,4,0.0,100,most_frequent,0.985607,3
True,entropy,None,0.3701052232203178,None,2,4,0.0,100,most_frequent,0.993116,3
False,entropy,None,0.1584435665789358,None,16,8,0.0,100,median,0.97403,3
True,gini,None,0.1129955630392562,None,6,10,0.0,100,median,0.975594,3
True,entropy,None,0.3423090828874239,None,10,15,0.0,100,most_frequent,0.980601,3
False,entropy,None,0.6645191519167291,None,2,13,0.0,100,median,0.993742,3
True,gini,None,0.7492700840473752,None,13,4,0.0,100,median,0.97622,3
True,entropy,None,0.23349422323025798,None,8,2,0.0,100,mean,0.982478,3
False,gini,None,0.6267365487237825,None,14,12,0.0,100,most_frequent,0.979036,3
True,entropy,None,0.8842503656629128,None,14,5,0.0,100,most_frequent,0.975594,3
True,gini,None,0.22079350833467776,None,1,11,0.0,100,mean,0.992178,3
True,entropy,None,0.6681228379955874,None,5,10,0.0,100,most_frequent,0.989987,3
True,entropy,None,0.44891727346137056,None,13,14,0.0,100,median,0.975594,3
False,gini,None,0.344030884040455,None,4,8,0.0,100,most_frequent,0.992491,3
False,entropy,None,0.8894269053801225,None,7,11,0.0,100,median,0.986859,3
True,entropy,None,0.3419439776834341,None,8,9,0.0,100,mean,0.981227,3
False,entropy,None,0.8293491793246573,None,11,14,0.0,100,most_frequent,0.979349,3
True,entropy,None,0.39641714682493245,None,9,19,0.0,100,mean,0.981852,3
True,gini,None,0.7384185707591508,None,5,18,0.0,100,median,0.984355,3
True,entropy,None,0.8818961952405092,None,12,18,0.0,100,median,0.977785,3
True,gini,None,0.650902036995012,None,12,13,0.0,100,mean,0.978723,3
False,gini,None,0.6812258356351524,None,12,6,0.0,100,most_frequent,0.978411,3
True,entropy,None,0.34605400751898396,None,9,9,0.0,100,mean,0.981227,3
False,entropy,None,0.16853550391007266,None,14,3,0.0,100,most_frequent,0.977159,3
True,entropy,None,0.3132855199082285,None,9,6,0.0,100,median,0.979975,3
False,entropy,None,0.7218099855468745,None,19,17,0.0,100,median,0.97622,3
True,entropy,None,0.4945538319950282,None,1,10,0.0,100,median,0.994994,3
True,gini,None,0.6189384947590714,None,20,3,0.0,100,most_frequent,0.968711,3
True,entropy,None,0.8375335113780712,None,17,12,0.0,100,median,0.971527,3
True,entropy,None,0.2982148022607277,None,6,12,0.0,100,median,0.984981,3
False,gini,None,0.6263108029519711,None,11,11,0.0,100,most_frequent,0.979036,3
False,gini,None,0.5890257435186446,None,8,17,0.0,100,mean,0.98373,3
False,gini,None,0.2063420054249087,None,1,10,0.0,100,median,0.995307,3
True,entropy,None,0.2067318755963611,None,19,14,0.0,100,median,0.966834,3
False,gini,None,0.48747179442313104,None,6,19,0.0,100,mean,0.989362,3
False,gini,None,0.3698732939022932,None,15,16,0.0,100,median,0.981852,3
False,entropy,None,0.7907262641507017,None,15,2,0.0,100,mean,0.978411,3
True,entropy,None,0.4138614792211407,None,1,7,0.0,100,mean,0.99562,3
False,entropy,None,0.833382157039988,None,1,2,0.0,100,most_frequent,0.996558,3
False,entropy,None,0.4961897784379531,None,5,14,0.0,100,most_frequent,0.992178,3
False,entropy,None,0.5777442250081977,None,4,8,0.0,100,mean,0.991865,3
False,gini,None,0.44738688978978947,None,16,15,0.0,100,most_frequent,0.979975,3
True,entropy,None,0.7913396326537888,None,18,4,0.0,100,mean,0.96965,3
False,gini,None,0.541507196016384,None,17,17,0.0,100,median,0.978098,3
False,gini,None,0.7757103705770195,None,15,20,0.0,100,mean,0.976533,3
True,gini,None,0.13378330159010707,None,16,12,0.0,100,mean,0.967146,3
False,gini,None,0.1868042472135917,None,8,10,0.0,100,mean,0.985607,3
True,entropy,None,0.41972127254761915,None,16,3,0.0,100,mean,0.971527,3
False,gini,None,0.687814211286292,None,19,5,0.0,100,most_frequent,0.97622,3
False,entropy,None,0.7952166394932217,None,7,18,0.0,100,mean,0.986859,3
True,entropy,None,0.8911313341964461,None,1,10,0.0,100,most_frequent,0.995307,3
True,gini,None,0.651797098122029,None,19,9,0.0,100,most_frequent,0.968711,3
False,entropy,None,0.7872693193955915,None,4,4,0.0,100,median,0.990926,3
True,gini,None,0.5412738056363702,None,7,13,0.0,100,most_frequent,0.982791,3
False,entropy,None,0.36477503925946553,None,1,9,0.0,100,median,0.994994,3
False,gini,None,0.7261199995230644,None,5,16,0.0,100,most_frequent,0.991865,3
True,entropy,None,0.18672447831696637,None,18,17,0.0,100,most_frequent,0.968711,3
False,gini,None,0.10591000198764267,None,9,19,0.0,100,median,0.974969,3
True,entropy,None,0.2660656968525692,None,2,20,0.0,100,most_frequent,0.9903,3
True,gini,None,0.8843827593099817,None,3,16,0.0,100,mean,0.990926,3
False,entropy,None,0.7971543086070569,None,18,15,0.0,100,median,0.974969,3
False,entropy,None,0.7300732287496586,None,1,19,0.0,100,mean,0.995307,3
True,gini,None,0.5485866781886269,None,20,7,0.0,100,most_frequent,0.968711,3
False,entropy,None,0.6934542398293173,None,14,6,0.0,100,mean,0.980914,3
False,gini,None,0.8007333184494189,None,12,6,0.0,100,median,0.975907,3
True,entropy,None,0.21587132346063387,None,5,8,0.0,100,median,0.986546,3
True,gini,None,0.24866840701820703,None,16,14,0.0,100,mean,0.967459,3
True,entropy,None,0.11884230067377466,None,12,6,0.0,100,mean,0.968398,3
True,gini,None,0.422700282691725,None,15,2,0.0,100,most_frequent,0.973404,3
True,gini,None,0.2648491518115441,None,1,2,0.0,100,mean,0.994055,3
True,entropy,None,0.15281035607193996,None,9,17,0.0,100,median,0.974969,3
False,entropy,None,0.801781562479093,None,4,16,0.0,100,most_frequent,0.991552,3
True,gini,None,0.7089666471286504,None,7,16,0.0,100,median,0.982791,3
False,gini,None,0.4932740594812446,None,5,3,0.0,100,mean,0.992804,3
False,entropy,None,0.6031788076797963,None,15,4,0.0,100,mean,0.979662,3
True,gini,None,0.28424988253082706,None,15,18,0.0,100,mean,0.969024,3
True,gini,None,0.5633727753512497,None,7,8,0.0,100,median,0.982791,3
False,gini,None,0.25419115485181065,None,8,12,0.0,100,mean,0.984355,3
False,gini,None,0.4311331878569318,None,20,14,0.0,100,median,0.975282,3
False,gini,None,0.28551485861867826,None,12,8,0.0,100,median,0.982165,3
False,gini,None,0.3628539001142369,None,10,6,0.0,100,median,0.984043,3
False,entropy,None,0.1998993746561066,None,14,8,0.0,100,median,0.978723,3
True,gini,None,0.11296616876564994,None,16,11,0.0,100,mean,0.964956,3
False,gini,None,0.1767761402862112,None,4,7,0.0,100,median,0.992178,3
False,gini,None,0.6769780320921582,None,3,2,0.0,100,median,0.993429,3
False,gini,None,0.542612340732659,None,12,13,0.0,100,mean,0.981852,3
True,entropy,None,0.5139285192914336,None,16,10,0.0,100,median,0.972466,3
True,gini,None,0.6034427713634879,None,11,19,0.0,100,median,0.978411,3
True,entropy,None,0.4624396309502107,None,17,17,0.0,100,most_frequent,0.970275,3
True,entropy,None,0.6742038735863973,None,13,8,0.0,100,most_frequent,0.975594,3
True,entropy,None,0.18417228866818214,None,12,5,0.0,100,median,0.970901,3
False,entropy,None,0.38527540634146196,None,12,10,0.0,100,median,0.98373,3
True,gini,None,0.1790755985239219,None,20,16,0.0,100,most_frequent,0.967146,3
True,entropy,None,0.6321591676203093,None,6,8,0.0,100,mean,0.98592,3
True,entropy,None,0.4281530448159564,None,16,11,0.0,100,most_frequent,0.971527,3
False,gini,None,0.4094469985104464,None,6,5,0.0,100,median,0.989987,3
False,entropy,None,0.5453487382321558,None,18,18,0.0,100,median,0.977472,3
False,gini,None,0.6773612773782122,None,16,11,0.0,100,median,0.977159,3
True,entropy,None,0.2171739566274317,None,5,13,0.0,100,median,0.987171,3
True,entropy,None,0.8144439183562565,None,11,13,0.0,100,median,0.979975,3
True,gini,None,0.5233338446449293,None,2,2,0.0,100,median,0.993742,3
True,entropy,None,0.7782633541178722,None,13,16,0.0,100,most_frequent,0.976533,3
True,entropy,None,0.7708872007151312,None,4,6,0.0,100,most_frequent,0.992178,3
False,gini,None,0.48990500020626426,None,18,15,0.0,100,most_frequent,0.977785,3
True,gini,None,0.4151007061752996,None,17,4,0.0,100,median,0.968398,3
False,gini,None,0.18925519178844985,None,20,9,0.0,100,mean,0.969024,3
False,entropy,None,0.7028071566245064,None,15,12,0.0,100,most_frequent,0.979349,3
True,gini,None,0.16280247708630916,None,9,16,0.0,100,mean,0.973717,3
True,gini,None,0.3678869096615547,None,6,11,0.0,100,most_frequent,0.983417,3
True,gini,None,0.21010364243403334,None,16,13,0.0,100,most_frequent,0.968085,3
True,entropy,None,0.12249915767061115,None,2,12,0.0,100,mean,0.98592,3
True,entropy,None,0.16318340138833715,None,11,13,0.0,100,median,0.970901,3
True,gini,None,0.867320513947181,None,17,15,0.0,100,mean,0.968711,3
False,gini,None,0.7017006538493584,None,15,8,0.0,100,median,0.977159,3
True,entropy,None,0.31712895323482293,None,6,13,0.0,100,mean,0.986546,3
True,gini,None,0.4692876379656373,None,17,16,0.0,100,mean,0.969024,3
True,entropy,None,0.6421376937496167,None,5,14,0.0,100,mean,0.989362,3
True,gini,None,0.5022573878468224,None,2,19,0.0,100,median,0.990613,3
True,entropy,None,0.2681340322088891,None,14,20,0.0,100,most_frequent,0.969962,3
False,entropy,None,0.8596992275562736,None,16,16,0.0,100,mean,0.97622,3
False,entropy,None,0.1449314590290187,None,8,13,0.0,100,median,0.982791,3
False,entropy,None,0.5781005172160679,None,5,18,0.0,100,mean,0.991865,3
True,gini,None,0.16065237915455813,None,10,9,0.0,100,most_frequent,0.97184,3
False,gini,None,0.5975832015900338,None,6,10,0.0,100,mean,0.989049,3
False,gini,None,0.7049126344632123,None,12,9,0.0,100,median,0.977472,3
True,entropy,None,0.31726221747511907,None,20,8,0.0,100,mean,0.968085,3
False,gini,None,0.24656989644724733,None,13,13,0.0,100,median,0.981227,3
False,entropy,None,0.16463566748715686,None,7,19,0.0,100,most_frequent,0.985607,3
False,gini,None,0.708998188540381,None,15,18,0.0,100,mean,0.978411,3
False,gini,None,0.3286879121683091,None,11,9,0.0,100,most_frequent,0.98373,3
True,entropy,None,0.3219189010573581,None,13,8,0.0,100,median,0.975594,3
False,gini,None,0.5403724477651011,None,8,12,0.0,100,median,0.983417,3
True,entropy,None,0.6319454007427073,None,8,13,0.0,100,mean,0.983104,3
False,gini,None,0.6114577403464672,None,12,7,0.0,100,median,0.980914,3
True,gini,None,0.7352465766989582,None,10,9,0.0,100,most_frequent,0.981852,3
True,entropy,None,0.40718108717106327,None,19,2,0.0,100,mean,0.968085,3
True,gini,None,0.8962635833903426,None,16,18,0.0,100,most_frequent,0.973091,3
False,entropy,None,0.4723155151831613,None,13,10,0.0,100,median,0.98373,3
True,entropy,None,0.8081650783311183,None,13,7,0.0,100,mean,0.977472,3
True,gini,None,0.7370503182522053,None,8,15,0.0,100,mean,0.980914,3
True,gini,None,0.8514265964845162,None,5,18,0.0,100,mean,0.986859,3
True,entropy,None,0.516424110749786,None,18,9,0.0,100,mean,0.970588,3
True,entropy,None,0.5403918225729729,None,12,10,0.0,100,mean,0.978411,3
True,gini,None,0.8274169528134385,None,6,9,0.0,100,mean,0.982478,3
False,entropy,None,0.6887641415153785,None,19,10,0.0,100,median,0.976533,3
True,gini,None,0.577412317209949,None,20,19,0.0,100,most_frequent,0.968398,3
True,gini,None,0.31529389320615253,None,2,6,0.0,100,most_frequent,0.993116,3
True,entropy,None,0.8554152273373744,None,18,18,0.0,100,most_frequent,0.96965,3
False,entropy,None,0.2498246002634036,None,3,17,0.0,100,median,0.993742,3
True,entropy,None,0.7116986738103923,None,10,4,0.0,100,most_frequent,0.980288,3
